elapsed_ms,gflops,memory_bandwidth,arithmetic_intensity,efficiency_percent,implementation,power_mode_id,power_mode_name,matrix_size,timestamp,wall_clock_time,pre_temperature,post_temperature,avg_power_consumption,thermal_rise,hardware_model,l4t_version,cuda_version
0.022,23.64,2.22,10.67,1.9,blocked,0,15W,64,2025-10-09T20:23:05.192109,1.1504838466644287,52.093,51.781,23.245376,-0.3120000000000047,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.054,78.25,3.67,21.33,6.2,blocked,0,15W,128,2025-10-09T20:23:09.989605,1.1376068592071533,51.75,51.75,19.686752,0.0,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.342,98.19,2.3,42.67,7.8,blocked,0,15W,256,2025-10-09T20:23:14.918841,1.1904730796813965,51.812,52.406,29.666688,0.5940000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
2.45,109.58,1.28,85.33,8.7,blocked,0,15W,512,2025-10-09T20:23:20.694854,1.5568749904632568,52.187,52.187,22.019264,0.0,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
22.963,93.52,0.55,170.67,7.5,blocked,0,15W,1024,2025-10-09T20:23:35.268118,5.752905607223511,52.187,52.406,23.503136,0.2190000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.017,30.74,2.88,10.67,1.6,blocked,1,25W,64,2025-10-09T20:24:27.515164,1.1339001655578613,51.906,51.875,21.074016,-0.030999999999998806,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.041,103.04,4.83,21.33,5.5,blocked,1,25W,128,2025-10-09T20:24:32.295713,1.1397385597229004,51.937,52.156,20.968224,0.2190000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.25,134.33,3.15,42.67,7.1,blocked,1,25W,256,2025-10-09T20:24:37.188776,1.1973371505737305,52.125,52.187,23.830848,0.06199999999999761,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
1.727,155.43,1.82,85.33,8.3,blocked,1,25W,512,2025-10-09T20:24:43.001497,1.5976393222808838,52.187,52.0,22.881504,-0.1869999999999976,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
16.982,126.46,0.74,170.67,6.7,blocked,1,25W,1024,2025-10-09T20:24:58.088865,5.845525741577148,52.156,52.343,23.238912,0.18700000000000472,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.016,32.32,3.03,10.67,1.5,blocked,2,MAXN_SUPER,64,2025-10-09T20:25:50.675669,1.1259887218475342,52.437,52.218,23.260896000000002,-0.2189999999999941,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.038,110.98,5.2,21.33,5.3,blocked,2,MAXN_SUPER,128,2025-10-09T20:25:55.366121,1.1267588138580322,52.343,52.468,23.342240000000004,0.125,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.225,149.14,3.5,42.67,7.1,blocked,2,MAXN_SUPER,256,2025-10-09T20:26:00.162203,1.164736032485962,52.625,52.812,27.368384,0.1869999999999976,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
1.564,171.62,2.01,85.33,8.2,blocked,2,MAXN_SUPER,512,2025-10-09T20:26:05.707353,1.5147631168365479,52.781,52.437,25.534048,-0.3440000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
14.285,150.34,0.88,170.67,7.2,blocked,2,MAXN_SUPER,1024,2025-10-09T20:26:18.703417,5.008199453353882,52.812,52.781,25.007168,-0.030999999999998806,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
