elapsed_ms,gflops,memory_bandwidth,arithmetic_intensity,efficiency_percent,numerical_error,implementation,power_mode_id,power_mode_name,matrix_size,timestamp,wall_clock_time,pre_temperature,post_temperature,avg_power_consumption,thermal_rise,hardware_model,l4t_version,cuda_version
0.028,19.01,1.78,10.67,1.5,0.0,cublas,0,15W,64,2025-10-09T20:23:06.529444,1.3219294548034668,52.031,51.812,21.988064,-0.2190000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.029,144.51,6.77,21.33,11.5,2.77e-06,cublas,0,15W,128,2025-10-09T20:23:11.316554,1.3084349632263184,51.937,52.187,28.306047999999997,0.25,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.085,394.35,9.24,42.67,31.5,2.24e-06,cublas,0,15W,256,2025-10-09T20:23:16.317759,1.384472370147705,52.281,52.031,24.682784,-0.25,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.394,681.34,7.98,85.33,54.4,1.75e-06,cublas,0,15W,512,2025-10-09T20:23:22.427534,1.7173802852630615,52.187,51.937,22.885024,-0.25,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
2.711,792.27,4.64,170.67,63.2,0.0,cublas,0,15W,1024,2025-10-09T20:23:41.563507,6.281898260116577,52.25,52.187,23.910848,-0.06300000000000239,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.022,23.37,2.19,10.67,1.2,0.0,cublas,1,25W,64,2025-10-09T20:24:28.842246,1.312929630279541,51.75,51.625,20.724064000000002,-0.125,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.023,181.79,8.52,21.33,9.7,2.77e-06,cublas,1,25W,128,2025-10-09T20:24:33.606680,1.2962100505828857,51.937,51.781,21.778240000000004,-0.1559999999999988,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.063,534.17,12.52,42.67,28.4,2.24e-06,cublas,1,25W,256,2025-10-09T20:24:38.564346,1.3622605800628662,52.031,52.0,22.70304,-0.030999999999998806,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.276,973.61,11.41,85.33,51.8,1.75e-06,cublas,1,25W,512,2025-10-09T20:24:44.815244,1.7954776287078857,52.406,51.812,24.659968,-0.5940000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
1.868,1149.62,6.74,170.67,61.1,0.0,cublas,1,25W,1024,2025-10-09T20:25:04.285782,6.1840245723724365,52.125,51.937,22.116256,-0.1880000000000024,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.022,24.17,2.27,10.67,1.2,0.0,cublas,2,MAXN_SUPER,64,2025-10-09T20:25:51.953355,1.2640700340270996,52.531,52.406,23.469696,-0.125,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.021,201.03,9.42,21.33,9.6,2.77e-06,cublas,2,MAXN_SUPER,128,2025-10-09T20:25:56.654962,1.275174617767334,52.406,52.625,23.868928000000004,0.2190000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.056,597.48,14.0,42.67,28.6,2.24e-06,cublas,2,MAXN_SUPER,256,2025-10-09T20:26:01.475801,1.2997846603393555,52.781,52.906,26.353312,0.125,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.252,1066.85,12.5,85.33,51.1,1.75e-06,cublas,2,MAXN_SUPER,512,2025-10-09T20:26:07.327416,1.606321096420288,52.875,52.5,24.809440000000002,-0.375,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
1.674,1282.49,7.51,170.67,61.4,0.0,cublas,2,MAXN_SUPER,1024,2025-10-09T20:26:23.897968,5.181808710098267,52.906,52.562,25.080928,-0.3440000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
