elapsed_ms,gflops,memory_bandwidth,arithmetic_intensity,efficiency_percent,numerical_error,implementation,power_mode_id,power_mode_name,matrix_size,timestamp,wall_clock_time,pre_temperature,post_temperature,avg_power_consumption,thermal_rise,hardware_model,l4t_version,cuda_version
0.031,17.12,1.61,10.67,1.4,0.0,naive,0,15W,64,2025-10-09T20:23:04.023824,1.175774097442627,51.937,52.281,32.972928,0.3440000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.075,55.63,2.61,21.33,4.4,0.0,naive,0,15W,128,2025-10-09T20:23:08.837933,1.1393427848815918,51.687,51.687,18.811584,0.0,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.383,87.67,2.05,42.67,7.0,0.0,naive,0,15W,256,2025-10-09T20:23:13.712706,1.2101035118103027,51.937,51.875,21.70416,-0.06199999999999761,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
2.761,97.24,1.14,85.33,7.8,0.0,naive,0,15W,512,2025-10-09T20:23:19.124179,1.589287519454956,52.0,52.156,21.115872000000003,0.1559999999999988,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
31.513,68.15,0.4,170.67,5.4,0.0,naive,0,15W,1024,2025-10-09T20:23:29.501747,5.478923559188843,52.281,52.343,22.718656,0.06200000000000472,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.025,21.03,1.97,10.67,1.1,0.0,naive,1,25W,64,2025-10-09T20:24:26.363837,1.1398217678070068,51.875,51.937,19.22128,0.06199999999999761,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.058,72.02,3.38,21.33,3.8,0.0,naive,1,25W,128,2025-10-09T20:24:31.140478,1.1388638019561768,51.906,51.937,21.219231999999998,0.030999999999998806,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.278,120.87,2.83,42.67,6.4,0.0,naive,1,25W,256,2025-10-09T20:24:35.977606,1.198359489440918,51.75,52.093,22.477344,0.3430000000000035,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
1.91,140.58,1.65,85.33,7.5,0.0,naive,1,25W,512,2025-10-09T20:24:41.388894,1.6072759628295898,52.093,52.0,22.61536,-0.09300000000000352,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
24.967,86.01,0.5,170.67,4.6,0.0,naive,1,25W,1024,2025-10-09T20:24:52.230213,5.777238607406616,52.218,51.968,21.245824000000002,-0.25,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.024,21.73,2.04,10.67,1.0,0.0,naive,2,MAXN_SUPER,64,2025-10-09T20:25:49.535334,1.1260852813720703,52.0,52.312,21.209504,0.3119999999999976,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.055,75.81,3.55,21.33,3.6,0.0,naive,2,MAXN_SUPER,128,2025-10-09T20:25:54.225476,1.1233556270599365,52.593,52.343,23.009632,-0.25,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.254,131.85,3.09,42.67,6.3,0.0,naive,2,MAXN_SUPER,256,2025-10-09T20:25:58.983312,1.169234275817871,52.593,52.718,26.7648,0.125,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
1.71,157.0,1.84,85.33,7.5,0.0,naive,2,MAXN_SUPER,512,2025-10-09T20:26:04.178862,1.5030763149261475,52.75,52.875,26.363072000000003,0.125,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
22.55,95.23,0.56,170.67,4.6,0.0,naive,2,MAXN_SUPER,1024,2025-10-09T20:26:13.682858,4.841915845870972,53.343,52.812,27.356544,-0.5310000000000059,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
