elapsed_ms,gflops,memory_bandwidth,arithmetic_intensity,efficiency_percent,numerical_error,implementation,power_mode_id,power_mode_name,matrix_size,timestamp,wall_clock_time,pre_temperature,post_temperature,avg_power_consumption,thermal_rise,hardware_model,l4t_version,cuda_version
0.014,37.15,3.48,10.67,3.0,0.00115,tensor_core,0,15W,64,2025-10-09T20:23:07.684946,1.1416938304901123,51.968,51.75,20.459936,-0.21800000000000352,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.024,171.34,8.03,21.33,13.7,0.00972,tensor_core,0,15W,128,2025-10-09T20:23:12.487567,1.1540346145629883,52.343,51.812,23.22848,-0.5310000000000059,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.072,465.21,10.9,42.67,37.1,0.00203,tensor_core,0,15W,256,2025-10-09T20:23:17.519644,1.186391830444336,51.937,52.062,21.606656,0.125,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.494,543.37,6.37,85.33,43.4,0.0018,tensor_core,0,15W,512,2025-10-09T20:23:24.009495,1.5672581195831299,52.437,52.156,22.714752,-0.2809999999999988,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
3.702,580.14,3.4,170.67,46.3,0.00213,tensor_core,0,15W,1024,2025-10-09T20:23:47.032642,5.456230878829956,52.406,52.156,22.744704,-0.25,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.011,48.62,4.56,10.67,2.6,0.00115,tensor_core,1,25W,64,2025-10-09T20:24:29.986902,1.130382776260376,51.937,51.937,19.96576,0.0,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.016,269.14,12.62,21.33,14.3,0.00972,tensor_core,1,25W,128,2025-10-09T20:24:34.764489,1.1445121765136719,51.656,51.75,20.11184,0.0940000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.052,651.29,15.26,42.67,34.6,0.00203,tensor_core,1,25W,256,2025-10-09T20:24:39.767838,1.189854383468628,52.125,52.187,22.963456,0.06199999999999761,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.339,792.72,9.29,85.33,42.2,0.0018,tensor_core,1,25W,512,2025-10-09T20:24:46.438925,1.60868239402771,52.156,51.937,21.66896,-0.2190000000000012,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
2.52,852.28,4.99,170.67,45.3,0.00213,tensor_core,1,25W,1024,2025-10-09T20:25:10.242942,5.943040370941162,52.093,52.312,22.340608,0.2189999999999941,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.011,49.35,4.63,10.67,2.4,0.00115,tensor_core,2,MAXN_SUPER,64,2025-10-09T20:25:53.088274,1.1211082935333252,52.656,52.468,23.851232,-0.18799999999999528,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.014,297.89,13.96,21.33,14.3,0.00972,tensor_core,2,MAXN_SUPER,128,2025-10-09T20:25:57.800242,1.1318068504333496,52.468,52.5,24.363296,0.031999999999996476,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.05,673.03,15.77,42.67,32.2,0.00203,tensor_core,2,MAXN_SUPER,256,2025-10-09T20:26:02.662265,1.1722280979156494,52.937,52.5,27.162656,-0.4369999999999976,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
0.301,892.12,10.45,85.33,42.7,0.0018,tensor_core,2,MAXN_SUPER,512,2025-10-09T20:26:08.827317,1.486323356628418,52.562,53.218,26.518976000000002,0.6560000000000059,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
2.257,951.6,5.58,170.67,45.6,0.00213,tensor_core,2,MAXN_SUPER,1024,2025-10-09T20:26:28.725239,4.8121397495269775,53.343,53.031,26.63008,-0.3120000000000047,Jetson Orin Nano Engineering Reference Developer Kit Super,R36.4.4,V12.6.68
